INFO    | Android emulator version 33.1.24.0 (build_id 11237101) (CL:N/A)
INFO    | Found systemPath C:\Users\萧龙\AppData\Local\Android\Sdk\system-images\android-28\google_apis\x86_64\
INFO    | Storing crashdata in: , detection is enabled for process: 2276
INFO    | Duplicate loglines will be removed, if you wish to see each individual line launch with the -log-nofilter flag.
INFO    | IPv4 server found: 
INFO    | Ignore IPv6 address: 9040:bd69:d001:0:9040:bd69:d001:0
INFO    | Ignore IPv6 address: 9040:bd69:d001:0:9040:bd69:d001:0 (2x)
INFO    | Ignore IPv6 address: 8046:bd69:d001:0:9040:bd69:d001:0
INFO    | Ignore IPv6 address: 8046:bd69:d001:0:9040:bd69:d001:0 (2x)
INFO    | Ignore IPv6 address: 784c:bd69:d001:0:9040:bd69:d001:0
INFO    | Ignore IPv6 address: 784c:bd69:d001:0:9040:bd69:d001:0 (2x)
INFO    | Ignore IPv6 address: 9854:bd69:d001:0:9040:bd69:d001:0
INFO    | Ignore IPv6 address: 9854:bd69:d001:0:9040:bd69:d001:0 (2x)
INFO    | Ignore IPv6 address: 4864:bd69:d001:0:9040:bd69:d001:0
INFO    | Ignore IPv6 address: 4864:bd69:d001:0:9040:bd69:d001:0 (2x)
INFO    | Ignore IPv6 address: 406a:bd69:d001:0:9040:bd69:d001:0
